task_id,halo_mass_msun,halo_redshift,halo_concentration,sigma_over_m_cm2_g,black_hole_seed_msun,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,r_min_over_influence_radius,mass_budget_residual_code,steps
104,100000000.0,30.0,8.0,10.0,10000.0,436181.75114730565,43.61817511473056,420596.59009129653,5585.16105599464,0.986894884539346,0.20833333333333331,1.1395329124752607e-12,6455253
105,100000000.0,30.0,8.0,30.0,10000.0,213336.24222469432,21.33362422246943,200172.36970084076,3163.872523829303,0.9844401937931097,0.20833333333333331,6.661338147750939e-13,5116834
106,100000000.0,30.0,8.0,50.0,10000.0,172755.9838619314,17.27559838619314,160008.61975561694,2747.3641063083664,0.9831197351942212,0.20833333333333331,6.741274205523951e-13,4834017
107,100000000.0,30.0,8.0,100.0,10000.0,143464.38512634663,14.346438512634663,131020.3021091561,2444.083017200368,0.9816873766370197,0.20833333333333331,1.2505552149377763e-12,4606516
108,1000000000.0,10.0,3.0,10.0,100000.0,239057.33808132994,2.3905733808132994,132768.21949621517,6289.118585113975,0.9547731987977759,0.5555555555555556,1.509903313490213e-14,131151
109,1000000000.0,10.0,3.0,30.0,100000.0,173518.9060776211,1.735189060776211,68125.30220182122,5393.603875798045,0.9266365053078276,0.5555555555555556,5.1514348342607263e-14,126792
110,1000000000.0,10.0,3.0,50.0,100000.0,160848.4483154765,1.608484483154765,55638.71620665506,5209.7321088226045,0.9143818412293617,0.5555555555555556,8.260059303211165e-14,126258
111,1000000000.0,10.0,3.0,100.0,100000.0,154303.04830365954,1.5430304830365953,49185.01045581893,5118.037847839813,0.9057504503389784,0.5555555555555556,6.483702463810914e-14,126257
112,1000000000.0,10.0,5.0,10.0,100000.0,335973.89497496205,3.3597389497496204,228397.22443976466,7576.670535195592,0.9678919122134195,0.3333333333333333,6.039613253960852e-14,306553
113,1000000000.0,10.0,5.0,30.0,100000.0,211286.27134115028,2.1128627134115026,105253.29678460285,6032.974556544727,0.9457886899808762,0.3333333333333333,5.5067062021407764e-14,288545
114,1000000000.0,10.0,5.0,50.0,100000.0,193938.69414957616,1.9393869414957616,88125.06596202354,5813.628187550646,0.9381125292385295,0.3333333333333333,8.615330671091215e-14,286809
115,1000000000.0,10.0,5.0,100.0,100000.0,184417.98436677264,1.8441798436677264,78712.02328448823,5705.9610822806935,0.9324082288260568,0.3333333333333333,5.684341886080802e-14,286202
116,1000000000.0,10.0,8.0,10.0,100000.0,491162.0004392943,4.911620004392943,381569.2290761365,9592.77136313203,0.9754762186705644,0.20833333333333331,7.194245199571014e-14,684598
117,1000000000.0,10.0,8.0,30.0,100000.0,285795.137812778,2.85795137812778,178528.12061586507,7267.017196904025,0.9608869355653658,0.20833333333333331,9.85878045867139e-14,630899
118,1000000000.0,10.0,8.0,50.0,100000.0,258452.0433888322,2.5845204338883216,151492.2908670055,6959.752521830163,0.9560765997523437,0.20833333333333331,1.652011860642233e-13,624444
119,1000000000.0,10.0,8.0,100.0,100000.0,240458.6243404313,2.404586243404313,133696.35399524815,6762.270345189848,0.9518557840293712,0.20833333333333331,1.7319479184152442e-13,619414
120,1000000000.0,20.0,3.0,10.0,100000.0,434956.85784956475,4.3495685784956475,325949.30303225154,9007.554817304908,0.9731083134850798,0.5555555555555555,1.021405182655144e-13,404181
121,1000000000.0,20.0,3.0,30.0,100000.0,280939.8578758479,2.8093985787584788,173690.03436740863,7249.823508437818,0.9599324129379291,0.5555555555555555,7.460698725481052e-14,379763
122,1000000000.0,20.0,3.0,50.0,100000.0,262399.6978404153,2.623996978404153,155341.7643354551,7057.93350496186,0.9565397374575427,0.5555555555555555,7.283063041541027e-14,377483
123,1000000000.0,20.0,3.0,100.0,100000.0,251348.24214884554,2.5134824214884555,144391.83763164488,6956.404517204795,0.9540370973693947,0.5555555555555555,8.43769498715119e-14,375408
124,1000000000.0,20.0,5.0,10.0,100000.0,703095.476702053,7.03095476702053,590657.5240949935,12437.95260703856,0.9793764783727532,0.3333333333333333,1.412203687323199e-13,987383
